Phrase1,Phrase2,Similarity
how company compares to its peers?,what is the detailed income statement breakdown of Axa?,0.5148845
how company compares to its peers?,world premium penetration in 2020,0.3693382
how company compares to its peers?,How does the forecasted insurance premium penetration in country trend compare to its peers?,0.59644634
how company compares to its peers?,what are the total losses for companies in country  non life market?,0.5176308
how company compares to its peers?,Insurance premiums market in Country,0.2529962
how company compares to its peers?,"How have the profit margins been for the airlines industry through the years, by regions?",0.50270575
how company compares to its peers?,What is the complete profile of the top oil rigs?,0.43721953
how company compares to its peers?,what is company general information?,0.5840621
how company compares to its peers?,How is the airline industry performing globally?,0.55296093
how company compares to its peers?,how does economic profit for in country compare to others?,0.6683995
how company compares to its peers?,most profitable insurance company India,0.43788612
how company compares to its peers?,Give me a detailed breakup of the income and expenses in South-East Asia,0.38851488
how company compares to its peers?,Show me all the oil rigs in the world,0.3911988
how company compares to its peers?,What were the premiums earned by the Indian insurance industry in 2020?,0.42469007
how company compares to its peers?,How much have premiums grown as compared to claims for India?,0.514989
how company compares to its peers?,Which are the best performing insurance firms in India?,0.41132164
how company compares to its peers?,What is the ROE of the Indian market?,0.4186907
how company compares to its peers?,What profits were clocked by Cholamandalam in 2020?,0.41011155
how company compares to its peers?,What is the premiums market share of the top 5 companies in India?,0.5512775
how company compares to its peers?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.4518827
how company compares to its peers?,Which are the main distribution channels in India?,0.35519105
how company compares to its peers?,What are the risks in the motor insurance segment in India?,0.43634945
how company compares to its peers?,What is the demand potential of India for insurance?,0.43308023
how company compares to its peers?,How do premiums break down by lines of business in India?,0.4281994
how company compares to its peers?,What is the share price of Qantas?,0.5338269
how company compares to its peers?,How many passengers are carried in ?,0.39475346
how company compares to its peers?,Which are the aircrafts manufactured by Boeing?,0.2856999
how company compares to its peers?,Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.088531286
how company compares to its peers?,Which are the top airports?,0.2660889
how company compares to its peers?,How many fatal air accidents till date?,0.26385644
how company compares to its peers?,What is the flow of air traffic in North America?,0.38619763
how company compares to its peers?,What is the fleet of Airbus?,0.43340492
how company compares to its peers?,Airlines profitability Brazil?,0.24265239
how company compares to its peers?,Mergers among airline companies?,0.2195321
how company compares to its peers?,Which are the most profitable airports?,0.36640358
how company compares to its peers?,What has the capacity movement of airline companies been over the years?,0.51394635
how company compares to its peers?,Details of the Aban Abraham oil rig?,0.22801289
how company compares to its peers?,How big is the airlines industry in China?,0.49912968
how company compares to its peers?,How much money did Lloyd's of London make last year?,0.43256128
how company compares to its peers?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.4412446
how company compares to its peers?,Which Lloyd's syndicates owns the maximum number of assets?,0.372347
how company compares to its peers?,List key performance indicators for AXA?,0.28183284
how company compares to its peers?,What are the most prominent legal cases?,0.33274662
how company compares to its peers?,How does oil industry perform in Brazil?,0.51175165
how company compares to its peers?,What is the main driver of growth in automobile industry in Europe?,0.46669328
how company compares to its peers?,Which country in Europe is going to grow the most in 2020?,0.46129033
how company compares to its peers?,What are the biggest acquisitions in 2020?,0.41917676
how company compares to its peers?,How impacted is the airline industry in 2020?,0.5673746
how company compares to its peers?,What are the most prominent bankruptcies in 2020?,0.34988183
what is the detailed income statement breakdown of Axa?,world premium penetration in 2020,0.3117607
what is the detailed income statement breakdown of Axa?,How does the forecasted insurance premium penetration in country trend compare to its peers?,0.5031816
what is the detailed income statement breakdown of Axa?,what are the total losses for companies in country  non life market?,0.5705752
what is the detailed income statement breakdown of Axa?,Insurance premiums market in Country,0.30467504
what is the detailed income statement breakdown of Axa?,"How have the profit margins been for the airlines industry through the years, by regions?",0.48785588
what is the detailed income statement breakdown of Axa?,What is the complete profile of the top oil rigs?,0.5666373
what is the detailed income statement breakdown of Axa?,what is company general information?,0.61423445
what is the detailed income statement breakdown of Axa?,How is the airline industry performing globally?,0.44143853
what is the detailed income statement breakdown of Axa?,how does economic profit for in country compare to others?,0.58659613
what is the detailed income statement breakdown of Axa?,most profitable insurance company India,0.36874503
what is the detailed income statement breakdown of Axa?,Give me a detailed breakup of the income and expenses in South-East Asia,0.6922586
what is the detailed income statement breakdown of Axa?,Show me all the oil rigs in the world,0.3696602
what is the detailed income statement breakdown of Axa?,What were the premiums earned by the Indian insurance industry in 2020?,0.49253005
what is the detailed income statement breakdown of Axa?,How much have premiums grown as compared to claims for India?,0.47610456
what is the detailed income statement breakdown of Axa?,Which are the best performing insurance firms in India?,0.4575216
what is the detailed income statement breakdown of Axa?,What is the ROE of the Indian market?,0.5072423
what is the detailed income statement breakdown of Axa?,What profits were clocked by Cholamandalam in 2020?,0.43480867
what is the detailed income statement breakdown of Axa?,What is the premiums market share of the top 5 companies in India?,0.5646434
